36-NaTaSi6Te-216-8921253,Na1Ta1Si6Te1,9,12.646315,9.895079,9.895079,9.895079,7.915941,7.915941,7.191535,7.191535,7.191535,4.588271,4.588271,4.588271,3.856643,3.856643,3.856643,2.52606,2.52606,2.52606,-0.011773,-0.011773,-0.011773,-3.152876,-3.152876,-3.152876,-5.497885,-5.497885,-5.497885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36-MgMoH6Os-216-4347689,Mg1Mo1H6Os1,9,46.371169,44.321839,44.321839,44.321839,42.512442,42.512442,10.619368,10.619368,10.619368,4.357869,4.357869,4.357869,0.006483,0.006483,0.006483,-13.03003,-13.03003,-13.03003,-23.424784,-23.424784,-23.424784,-24.083618,-24.083618,-24.083618,-32.850069,-32.850069,-32.850069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32-MoIO6-216-341247,Mo1I1O6,8,21.754683,14.60264,14.60264,13.405798,13.405798,13.405798,9.624882,9.624882,9.624882,3.0455,3.0455,3.0455,1.695478,1.695478,1.695478,-0.036835,-0.036835,-0.036835,-8.613549,-8.613549,-8.613549,-12.39317,-12.39317,-12.39317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56-Ba6BeFe6Pt-216-4771493,Ba6Be1Fe6Pt1,14,10.608572,9.182438,9.182438,9.182438,7.114151,7.114151,7.114151,5.237914,5.237914,5.237914,5.014842,4.965938,4.965938,4.965938,4.228525,4.228525,4.228525,3.339592,3.339592,3.019433,3.019433,3.019433,2.8339,2.8339,2.142931,2.142931,2.142931,0.70814,0.70814,0.70814,-0.05313,-0.05313,-0.05313,-0.987709,-0.987709,-0.987709,-2.059289,-2.059289,-2.059289,-2.633534,-2.633534,-2.633534
56-Na6GaTcH6-216-9449944,Na6Ga1Tc1H6,14,34.682017,30.950652,30.950652,30.950652,25.435866,25.435866,25.435866,25.430718,25.430718,22.235926,22.235926,22.235926,18.0197,18.0197,18.0197,14.280032,14.280032,14.280032,10.007638,9.86612,9.86612,9.86612,7.658196,7.658196,6.427826,6.427826,6.427826,3.7042,3.7042,3.7042,3.235652,3.235652,3.235652,-0.024135,-0.024135,-0.024135,-2.170348,-2.170348,-2.170348,-2.545702,-2.545702,-2.545702
32-TlGaI6-216-1044042,Tl1Ga1I6,8,3.23437,3.23437,3.23437,3.233002,1.355934,1.355934,1.355934,1.242725,1.242725,1.242725,0.770477,0.770477,0.770477,0.006024,0.006024,0.006024,-1.217485,-1.217485,-1.217485,-2.003212,-2.003212,-2.003212,-2.161076,-2.161076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32-HgSCl6-216-6595875,Hg1S1Cl6,8,9.168603,9.168603,9.168603,9.134533,6.968397,6.968397,4.913746,4.913746,4.913746,4.449133,4.449133,4.449133,2.896491,2.896491,2.896491,-0.034835,-0.034835,-0.034835,-1.857293,-1.857293,-1.857293,-3.474112,-3.474112,-3.474112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32-HfScP6-216-9239696,Hf1Sc1P6,8,13.566947,9.208531,9.208531,9.208531,0.014901,0.014901,0.014901,-2.557959,-2.557959,-2.557959,-2.58979,-2.58979,-2.58979,-6.442399,-6.442399,-6.442399,-9.036695,-9.036695,-9.036695,-9.891064,-9.891064,-9.891064,-10.236484,-10.236484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32-SeS6Br-216-601804,Se1S6Br1,8,10.164103,4.736338,4.736338,4.736338,3.074741,3.074741,3.074741,1.343888,1.343888,0.520807,0.520807,0.520807,-0.068497,-0.068497,-0.068497,-1.571499,-1.571499,-1.571499,-5.302643,-5.302643,-5.302643,-10.298405,-10.298405,-10.298405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56-Hf6Fe6NiH-216-4933676,Hf6Fe6Ni1H1,14,9.345297,9.01253,9.01253,9.01253,8.652206,8.652206,8.652206,8.007372,8.007372,8.007372,7.52968,7.52968,7.52968,5.442783,5.442783,5.442783,5.378378,4.429921,4.429921,4.429921,3.429428,3.429428,3.428239,3.428239,3.428239,2.535622,2.535622,2.535622,0.005872,0.005872,0.005872,-0.495665,-0.495665,-1.119126,-1.119126,-1.119126,-1.594781,-1.594781,-1.594781,-29.255968,-29.255968,-29.255968
